treatment,stratum,stratum_group,comment_karma,link_karma,tenure_i,gold,deltas_received,num_cmv_post,num_cmv_comments,cmv_tenure,average_comment_length
0,1,1,110420,70,16.423263927317514,0,1.0,0,0,0,0.0
0,1,1,60340,5229,16.418519079800593,0,4.0,0,2,6,48.5
0,1,1,18774,2748,16.410318139298145,0,1.0,0,0,0,0.0
1,1,1,15405,1522,16.40715215075656,0,1.0,0,0,0,0.0
1,1,1,33564,46689,16.40143992929485,1,1.0,0,0,0,0.0
0,1,1,16586,7146,16.39345462622998,0,1.0,0,0,0,0.0
1,1,1,43678,408,16.392283085935404,0,2.0,0,0,0,0.0
0,3,2,94312,482,16.391101785709786,0,22.0,0,18,48,120.50704225352112
1,1,1,32196,4167,16.385197280931223,0,2.0,0,0,0,0.0
1,1,1,2256,379,16.374624455367808,0,1.0,0,0,0,0.0
0,1,1,19465,2165,16.3739790640833,0,1.0,0,0,0,0.0
1,1,1,13614,4,16.372809773642963,0,1.0,0,1,0,48.0
1,1,1,1406,362,16.372237771969832,0,1.0,0,0,0,0.0
1,1,1,8519,541,16.368101082234237,1,2.0,0,0,0,0.0
0,1,1,83868,1366,16.36587008241169,0,3.0,0,1,33,141.75
0,1,1,6643,272,16.365850118916367,0,1.0,0,0,0,0.0
0,1,1,95826,1014,16.3632033713817,0,1.0,0,0,0,75.5
0,1,1,429271,14892,16.361011442971428,0,2.0,0,0,0,0.0
1,1,1,6217,223,16.350306699898443,1,1.0,0,0,0,0.0
1,1,1,16787,26386,16.335939320883565,1,1.0,0,0,0,0.0
0,1,1,40795,4280,16.334787902524752,0,2.0,0,0,0,0.0
1,1,1,28655,2378,16.330526203282734,0,1.0,0,0,0,0.0
0,2,2,26596,324,16.32356258754516,0,15.0,0,0,0,0.0
1,1,1,43717,239,16.31981883009846,0,3.0,0,0,0,0.0
0,1,1,58992,19016,16.319253704740383,0,1.0,0,0,0,0.0
1,1,1,79306,5233,16.309514497703095,0,1.0,0,0,0,0.0
0,1,1,22137,408,16.299856285418254,0,1.0,0,0,0,0.0
1,1,1,73855,3747,16.295968759117144,0,1.0,0,0,0,31.0
0,1,1,67347,16221,16.295903354903896,0,4.0,0,0,0,0.0
0,1,1,229663,20835,16.29083861614049,0,3.0,0,1,0,17.0
